Samples,Order of analysis,Sex,Cancer_Type,Age,Therapy,Cancer,VOM7,VOM9,VOM11,VOM23,VOM40,VOM58,VOM64,VOM75,VOM78,VOM79,VOM88,VOM93,VOM94,VOM108,VOM115,VOM121,VOM126,VOM127
H2,1,F,H,ADC,None,N,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0
C13,2,F,BC,ADT,CTx,Y,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
C12,3,F,BC,SN,None,Y,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
H3,4,F,H,ADT,None,N,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0
C11,5,M,CC,ADT,CTx,Y,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1
H5,6,M,H,ADT,None,N,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0
H6,7,F,H,ADT,None,N,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0
C16,8,F,BC,SN,None,Y,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1
H7,9,M,H,ADT,None,N,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0
H16,10,F,H,ADC,None,N,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1
C14,11,M,STC,SN,None,Y,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
H8,12,M,H,ADT,None,N,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1
H9,13,M,H,SN,None,N,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1
H10,14,M,H,SN,None,N,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1
C80,15,F,BC,ADT,CTx,Y,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
H11,16,F,H,ADT,None,N,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1
H13,17,M,H,ADT,None,N,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1
C35,18,F,BC,ADT,None,Y,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0
H15,19,M,H,SN,None,N,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1
H17,20,F,H,ADT,None,N,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1
H18,21,M,H,ADT,None,N,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
C47,22,F,BC,ADT,CTx,Y,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1
H20,23,F,H,SN,None,N,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
H22,24,M,H,SN,None,N,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
C23,25,M,TPC,SN,CTx,Y,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
H24,26,M,H,ADC,None,N,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
C41,27,M,TVT,ADT,CTx,Y,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0
H25,28,M,H,ADC,None,N,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1
H26,29,M,H,SN,None,N,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1
H27,30,F,H,GA,None,N,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1
C9,31,M,STC,ADT,None,Y,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
C38,32,M,STC,SN,CTx,Y,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
H28,33,M,H,SN,None,N,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0
C33,34,F,BC,ADT,CTx,Y,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0
H29,35,F,H,SN,None,N,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1
C43,36,M,TPC,SN,None,Y,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
H31,37,F,H,ADT,None,N,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
H32,38,M,H,ADT,None,N,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
C37,39,M,STC,ADT,CTx,Y,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
H34,40,F,H,NI,None,N,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
H36,41,M,H,SN,None,N,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0
H37,42,M,H,NI,None,N,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1
H39,43,F,H,SN,None,N,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1
H40,44,F,H,SN,None,N,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1
C5,45,F,BC,ADT,None,Y,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1
H43,46,M,H,NI,None,N,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1
C2,47,F,BC,ADT,None,Y,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
H44,48,M,H,SN,None,N,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1
C50,49,M,CC,NI,None,Y,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0
H47,50,M,H,NI,None,N,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1
C1,51,F,BC,SN,None,Y,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0
H4,52,F,H,SN,None,N,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0
C22,53,F,BC,SN,None,Y,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
H41,54,M,H,SN,None,N,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1
C3,55,F,BC,ADT,None,Y,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
C4,56,F,BC,SN,None,Y,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
H21,57,M,H,ADT,None,N,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
C45,58,F,BC,ADT,None,Y,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0
H19,59,M,H,ADC,None,N,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
C31,60,F,STC,NI,CTx,Y,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0
C6,61,F,BC,ADT,None,Y,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1
H23,62,F,H,ADC,None,N,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
C7,63,F,BC,ADT,None,Y,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1
C8,64,F,BC,SN,CTx,Y,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1
H14,65,F,H,ADT,None,N,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1
C10,66,F,BC,ADT,None,Y,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1
H42,67,M,H,NI,None,N,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1
C20,68,F,BC,SN,CTx,Y,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1
C15,69,F,BC,SN,None,Y,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
H35,70,F,H,ADC,None,N,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1
C17,71,M,TVT,SN,CTx,Y,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
C18,72,F,BC,SN,None,Y,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1
C21,73,F,BC,SN,None,Y,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
H38,74,F,H,SN,None,N,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
C48,75,F,BC,SN,None,Y,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
C24,76,M,TVT,ADT,CTx,Y,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1
H49,77,F,H,SN,None,N,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
C25,78,M,TPC,SN,CTx,Y,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
H48,79,M,H,SN,None,N,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1
C27,80,F,BC ,SN,None,Y,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1
H33,81,F,H,SN,None,N,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1
C29,82,F,BC,SN,CTx,Y,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0
C30,83,M,TPC,SN,None,Y,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1
H45,84,F,H,SN,None,N,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1
C32,85,M,TPC,SN,None,Y,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0
H30,86,M,H,SN,None,N,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1
C34,87,F,BC,ADT,CTx,Y,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0
H45,88,M,H,SN,None,N,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
