Samples,Sex,Cancer Type,Age,Therapy,Cancer,VOM7,VOM9,VOM11,VOM23,VOM40,VOM58,VOM64,VOM75,VOM78,VOM79,VOM88,VOM93,VOM94,VOM108,VOM115,VOM121,VOM126,VOM127
H2,F,H,ADC,None,N,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0
C13,F,BC,ADT,CTx,Y,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
C12,F,BC,SN,None,Y,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
H3,F,H,ADT,None,N,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0
C11,M,CC,ADT,CTx,Y,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1
H5,M,H,ADT,None,N,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0
H6,F,H,ADT,None,N,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0
C16,F,BC,SN,None,Y,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1
H7,M,H,ADT,None,N,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0
H16,F,H,ADC,None,N,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1
C14,M,STC,SN,None,Y,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
H8,M,H,ADT,None,N,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1
H9,M,H,SN,None,N,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1
H10,M,H,SN,None,N,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1
C80,F,BC,ADT,CTx,Y,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
H11,F,H,ADT,None,N,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1
H13,M,H,ADT,None,N,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1
C35,F,BC,ADT,None,Y,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0
H15,M,H,SN,None,N,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1
H17,F,H,ADT,None,N,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1
